center_code,transfer_type
DC9977,"drop_off,courier,rider"
DC6761,"drop_off,courier,rider"
DC13394,"drop_off,courier,rider"
CC1936,"drop_off,courier,rider"
DC12729,"drop_off,courier,rider"
DC1487,"drop_off,courier,rider"
CC2668,"drop_off,courier,rider"
OLC7921,"drop_off,courier,rider"
CC9612,"drop_off,courier,rider"
DC13653,"drop_off,courier,rider"
CC7896,"drop_off,courier,rider"
DC2679,"drop_off,courier,rider"
CC5660,"drop_off,courier,rider"
DC10382,"drop_off,courier,rider"
DC2944,"drop_off,courier,rider"
DC7315,"drop_off,courier,rider"
CC11683,"drop_off,courier,rider"
DC6167,"drop_off,courier,rider"
CC4136,"drop_off,courier,rider"
DC6780,"drop_off,courier,rider"
DC10005,"drop_off,courier,rider"
OLC8843,"drop_off,courier,rider"
DC5743,"drop_off,courier,rider"
DC7019,"drop_off,courier,rider"
